2024-08-24 15:21:57 100570e 0 3132 0 0 从端看门狗状态变化，0变化为3132
2024-08-24 15:21:57 100571e 0 561 0 0 主端看门狗状态变化，0变化为561
2024-08-24 15:21:57 100572e 0 0 0 0 主端看门狗异常信号变化，0变化为0
2024-08-24 15:21:58 100310e 0 1 0 0 状态机跳转，初始化（S00）—>使能（S01）
2024-08-24 15:21:58 10070ce 1 37 48 0 CPU日志记录，状态机使能（S01），Core2 CPU使用率：37%，Core3 CPU使用率：48%
2024-08-24 15:21:58 1a4030e -14 -14 -14 0 位置接近限位，电机码盘位置-14，关节码盘位置-14，指令位置-14，实际力矩0
2024-08-24 15:21:58 1a3030e 0 0 0 0 位置接近限位，电机码盘位置0，关节码盘位置0，指令位置0，实际力矩0
2024-08-24 15:21:58 1a2030e 0 0 0 0 位置接近限位，电机码盘位置0，关节码盘位置0，指令位置0，实际力矩0
2024-08-24 15:21:58 1a1030e -68 -68 -68 0 位置接近限位，电机码盘位置-68，关节码盘位置-68，指令位置-68，实际力矩0
2024-08-24 15:21:58 194030e 45 45 45 0 位置接近限位，电机码盘位置45，关节码盘位置45，指令位置45，实际力矩0
2024-08-24 15:21:58 193030e -2 -2 -2 0 位置接近限位，电机码盘位置-2，关节码盘位置-2，指令位置-2，实际力矩0
2024-08-24 15:21:58 192030e -6 -6 -6 0 位置接近限位，电机码盘位置-6，关节码盘位置-6，指令位置-6，实际力矩0
2024-08-24 15:21:58 191030e -25 -25 -25 0 位置接近限位，电机码盘位置-25，关节码盘位置-25，指令位置-25，实际力矩0
2024-08-24 15:21:58 184030e 62 62 62 0 位置接近限位，电机码盘位置62，关节码盘位置62，指令位置62，实际力矩0
2024-08-24 15:21:58 183030e -1 -1 -1 0 位置接近限位，电机码盘位置-1，关节码盘位置-1，指令位置-1，实际力矩0
2024-08-24 15:21:58 182030e 0 0 0 0 位置接近限位，电机码盘位置0，关节码盘位置0，指令位置0，实际力矩0
2024-08-24 15:21:58 181030e -9 -9 -9 0 位置接近限位，电机码盘位置-9，关节码盘位置-9，指令位置-9，实际力矩0
2024-08-24 15:21:58 174030e 73 73 73 0 位置接近限位，电机码盘位置73，关节码盘位置73，指令位置73，实际力矩0
